DateTime (UTC),From,To,TokenSymbol,TokenValue
2025-05-07 14:28:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,DRT,1e-05
2025-05-07 14:28:47,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,WETH,0.005499814283568
2025-05-07 14:50:23,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRT,1.4061699537e-06
2025-05-07 14:50:23,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,WETH,0.0009
2025-05-07 20:14:59,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRT,1.1612712124e-06
2025-05-07 20:14:59,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,WETH,0.001
2025-05-14 09:40:47,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x828ae1566824a9835acb6f565e1e9ea22bfb883a,WETH,0.002878539577688
2025-05-14 09:40:47,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,DRT,4.7327258532e-06
2025-05-14 09:41:35,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRT,2.2357978258e-06
2025-05-14 09:41:35,0x507888e987257a8dde6f8afa46375cefe2cbf504,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,WETH,0.0010181517217178
2025-05-14 18:55:11,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,DRT,8.18821258e-07
2025-05-14 18:55:11,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,WETH,0.0004979054897008
2025-05-14 22:07:11,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x507888e987257a8dde6f8afa46375cefe2cbf504,WETH,0.0007755047511835
2025-05-14 22:07:11,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,DRT,1.3429104624e-06
2025-05-15 03:53:59,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRT,7.195534036e-07
2025-05-15 03:53:59,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,WETH,0.000389
2025-05-15 08:14:23,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRT,6.344016686e-07
2025-05-15 08:14:23,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,WETH,0.000394
2025-05-07 12:44:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x732715c246a0a887e976c7c1145fbdec3fc646ac,DRTv2,1e-05
2025-05-07 12:44:47,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.005499814283568
2025-05-07 14:49:23,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRTv2,1.4026637015e-06
2025-05-07 14:49:23,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.0009
2025-05-07 19:19:47,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x74de5d4fcbf63e00296fd95d33236b9794016631,DRTv2,1.5288031935e-06
2025-05-07 19:19:47,0x5418226af9c8d5d287a78fbbbcd337b86ec07d61,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.00138775
2025-05-07 19:22:11,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRTv2,8.94285389e-08
2025-05-07 19:22:11,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.0001
2025-05-07 19:25:59,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,WETH,0.002679340870767
2025-05-07 19:25:59,0xdd35644754ca5f25fc7c31b0355fbe53eaac537f,0x732715c246a0a887e976c7c1145fbdec3fc646ac,DRTv2,3.6061238515e-06
2025-05-07 20:01:35,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRTv2,2.9305347217e-06
2025-05-07 20:01:35,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.002
2025-05-14 09:41:35,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x507888e987257a8dde6f8afa46375cefe2cbf504,WETH,0.0016216837317321
2025-05-14 09:41:35,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0x732715c246a0a887e976c7c1145fbdec3fc646ac,DRTv2,2.2308286832e-06
2025-05-14 18:55:11,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,WETH,0.0009468004994404
2025-05-14 18:55:11,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,0x732715c246a0a887e976c7c1145fbdec3fc646ac,DRTv2,2.0255047859e-06
2025-05-14 22:07:11,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRTv2,1.3480016488e-06
2025-05-14 22:07:11,0x507888e987257a8dde6f8afa46375cefe2cbf504,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.0005935229272295
2025-05-15 03:56:59,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRTv2,7.291173038e-07
2025-05-15 03:56:59,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.000389
2025-05-15 04:18:59,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x0000e0ca771e21bd00057f54a68c30d400000000,WETH,0.0001868485108742
2025-05-15 04:18:59,0xcf16af815808bd58b19403237c1a819684e6ac84,0x732715c246a0a887e976c7c1145fbdec3fc646ac,DRTv2,3.392612654e-07
2025-05-23 17:18:23,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0xcf16af815808bd58b19403237c1a819684e6ac84,DRTv2,3.187077849e-07
2025-05-23 17:18:23,0x507888e987257a8dde6f8afa46375cefe2cbf504,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.000176235644057
2025-05-23 17:19:59,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0xcf16af815808bd58b19403237c1a819684e6ac84,DRTv2,3.126293514e-07
2025-05-23 17:19:59,0x507888e987257a8dde6f8afa46375cefe2cbf504,0x732715c246a0a887e976c7c1145fbdec3fc646ac,WETH,0.0001843422992408
2025-05-07 14:35:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRT,50.0
2025-05-07 14:35:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRTv2,50.0
2025-05-07 15:31:23,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRT,1.3949595322e-06
2025-05-07 15:31:23,0xdd35644754ca5f25fc7c31b0355fbe53eaac537f,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRTv2,1.3991570422e-06
2025-05-07 16:44:23,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRTv2,3.525733217e-06
2025-05-07 16:44:23,0xdd35644754ca5f25fc7c31b0355fbe53eaac537f,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRT,3.5363422958e-06
2025-05-07 16:47:23,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,DRTv2,0.9775083983914632
2025-05-07 16:47:23,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRT,1.0
2025-05-07 16:49:11,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,DRT,1.0164840077791535
2025-05-07 16:49:11,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRTv2,1.0
2025-05-09 13:28:59,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,DRT,2.912167883e-06
2025-05-09 13:28:59,0xdd35644754ca5f25fc7c31b0355fbe53eaac537f,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRTv2,2.9232083849e-06
2025-05-14 09:41:35,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0x732715c246a0a887e976c7c1145fbdec3fc646ac,DRTv2,2.2308286832e-06
2025-05-14 09:41:35,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRT,2.2357978258e-06
2025-05-14 22:07:11,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,DRT,1.3429104624e-06
2025-05-14 22:07:11,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0x6e5a733d0ba2f3ec150ac6e5dc08be8c58bed41d,DRTv2,1.3480016488e-06
2025-05-14 09:35:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x60446ef0d652d9ca6c6a379945ac9096521da29a,ERC20 ***,9.9999999999e-06
2025-05-14 09:35:23,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x60446ef0d652d9ca6c6a379945ac9096521da29a,WETH,9.9999999999e-06
2025-05-14 09:40:47,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,ERC20 ***,9.0121885082e-06
2025-05-14 09:40:47,0x828ae1566824a9835acb6f565e1e9ea22bfb883a,0x60446ef0d652d9ca6c6a379945ac9096521da29a,WETH,9.150841535e-05
2025-05-15 04:18:59,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0xcf16af815808bd58b19403237c1a819684e6ac84,ERC20 ***,4.678591336e-07
2025-05-15 04:18:59,0x0000e0ca771e21bd00057f54a68c30d400000000,0x60446ef0d652d9ca6c6a379945ac9096521da29a,WETH,9.13655194181e-05
2025-05-23 17:18:11,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0xe592427a0aece92de3edee1f18e0157c05861564,ERC20 ***,4.728606105e-07
2025-05-23 17:18:11,0xe592427a0aece92de3edee1f18e0157c05861564,0x60446ef0d652d9ca6c6a379945ac9096521da29a,WETH,0.001937
2025-05-23 17:18:23,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0x507888e987257a8dde6f8afa46375cefe2cbf504,WETH,0.0019236494797434
2025-05-23 17:18:23,0xcf16af815808bd58b19403237c1a819684e6ac84,0x60446ef0d652d9ca6c6a379945ac9096521da29a,ERC20 ***,4.546102285e-07
2025-05-23 17:19:47,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0xe592427a0aece92de3edee1f18e0157c05861564,ERC20 ***,4.534130052e-07
2025-05-23 17:19:47,0xe592427a0aece92de3edee1f18e0157c05861564,0x60446ef0d652d9ca6c6a379945ac9096521da29a,WETH,0.001937
2025-05-23 17:19:59,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0x507888e987257a8dde6f8afa46375cefe2cbf504,WETH,0.0019276062793877
2025-05-23 17:19:59,0xcf16af815808bd58b19403237c1a819684e6ac84,0x60446ef0d652d9ca6c6a379945ac9096521da29a,ERC20 ***,4.459398474e-07
2025-05-14 09:40:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,DRT,9.9999999999e-06
2025-05-14 09:40:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,ERC20 ***,9.9999999999e-06
2025-05-14 09:40:47,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,0xe1c76fbf1b373165822b564c6f3accf78c5a344a,DRT,4.7327258532e-06
2025-05-14 09:40:47,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,ERC20 ***,9.0121885082e-06
2025-05-14 18:55:11,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,ERC20 ***,2.5476215486e-06
2025-05-14 18:55:11,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,DRT,8.18821258e-07
2025-05-15 04:04:23,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,ERC20 ***,1.7300057211e-06
2025-05-15 04:04:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,DRT,7.17755e-07
2025-05-15 08:21:23,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,ERC20 ***,1.3691061582e-06
2025-05-15 08:21:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,DRT,7e-07
2025-05-23 09:04:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,DRT,10.000000000000002
2025-05-23 09:04:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,ERC20 ***,17.791340846992608
2025-05-23 17:18:11,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,DRT,2.649839718e-07
2025-05-23 17:18:11,0xe592427a0aece92de3edee1f18e0157c05861564,0xeb86279439b667ca70fd1bda7460cd8f92ae5e35,ERC20 ***,4.728606105e-07
2025-05-14 09:43:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xcf16af815808bd58b19403237c1a819684e6ac84,DRTv2,9.9999999999e-06
2025-05-14 09:43:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xcf16af815808bd58b19403237c1a819684e6ac84,ERC20 ***,9.9999999999e-06
2025-05-14 18:55:11,0xcf16af815808bd58b19403237c1a819684e6ac84,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,DRTv2,2.0255047859e-06
2025-05-14 18:55:11,0xc786846e1b65b77de9a87d48f440ba0f9007fac8,0xcf16af815808bd58b19403237c1a819684e6ac84,ERC20 ***,2.5476215486e-06
2025-05-15 04:08:59,0xcf16af815808bd58b19403237c1a819684e6ac84,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,ERC20 ***,1.0452083199e-06
2025-05-15 04:08:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xcf16af815808bd58b19403237c1a819684e6ac84,DRTv2,7.27295e-07
2025-05-15 04:18:59,0xcf16af815808bd58b19403237c1a819684e6ac84,0x732715c246a0a887e976c7c1145fbdec3fc646ac,DRTv2,3.392612654e-07
2025-05-15 04:18:59,0x60446ef0d652d9ca6c6a379945ac9096521da29a,0xcf16af815808bd58b19403237c1a819684e6ac84,ERC20 ***,4.678591336e-07
2025-05-23 16:15:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xcf16af815808bd58b19403237c1a819684e6ac84,DRTv2,10.000000000000002
2025-05-23 16:15:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xcf16af815808bd58b19403237c1a819684e6ac84,ERC20 ***,14.307092551804244
2025-05-23 17:18:23,0xcf16af815808bd58b19403237c1a819684e6ac84,0x60446ef0d652d9ca6c6a379945ac9096521da29a,ERC20 ***,4.546102285e-07
2025-05-23 17:18:23,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0xcf16af815808bd58b19403237c1a819684e6ac84,DRTv2,3.187077849e-07
2025-05-23 17:19:47,0xcf16af815808bd58b19403237c1a819684e6ac84,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,DRTv2,3.159641129e-07
2025-05-23 17:19:47,0xe592427a0aece92de3edee1f18e0157c05861564,0xcf16af815808bd58b19403237c1a819684e6ac84,ERC20 ***,4.534130052e-07
2025-05-23 17:19:59,0xcf16af815808bd58b19403237c1a819684e6ac84,0x60446ef0d652d9ca6c6a379945ac9096521da29a,ERC20 ***,4.459398474e-07
2025-05-23 17:19:59,0x732715c246a0a887e976c7c1145fbdec3fc646ac,0xcf16af815808bd58b19403237c1a819684e6ac84,DRTv2,3.126293514e-07
