DateTime (UTC),From,To,Value_IN(ETH)
2025-04-11 05:02:35,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0.00064681
2025-04-11 06:03:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-04-11 06:05:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-04-11 06:07:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-04-11 06:41:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-11 07:23:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-11 07:34:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-04-11 13:02:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-04-12 09:39:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-12 09:44:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-12 09:51:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-12 09:54:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-13 20:08:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-14 09:38:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-15 19:27:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-16 06:48:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-16 20:44:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-16 20:55:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-16 21:17:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-18 07:02:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-18 07:04:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-18 18:27:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-04-19 07:14:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.0
2025-04-24 01:39:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-04-24 01:49:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-04-24 01:50:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-04-24 02:20:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-04-24 02:25:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-04-24 02:30:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-04-24 02:31:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-04-24 02:34:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-04-25 13:14:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-04-25 13:14:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-02 22:13:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-02 22:17:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-02 22:24:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-02 22:26:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-02 22:29:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-02 22:33:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-02 22:35:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-02 22:40:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-02 22:46:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-02 22:49:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:07:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-03 00:20:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:21:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:22:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-03 00:25:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:26:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:27:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-03 00:32:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-03 00:34:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:35:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:48:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 00:51:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 01:43:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 02:12:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 04:07:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 04:12:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-03 04:16:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-03 04:35:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-03 06:00:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 06:02:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 06:23:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-03 08:25:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0
2025-05-03 08:28:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-06 07:19:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-06 19:47:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-07 12:44:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-07 12:44:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-07 13:35:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-07 14:00:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-07 14:04:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-07 14:13:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-07 14:28:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-07 14:35:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-07 14:41:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xdd35644754ca5f25fc7c31b0355fbe53eaac537f,0.0
2025-05-07 16:47:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-05-07 16:47:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x881d40237659c251811cec9c364ef91dc08d300c,0.0
2025-05-07 16:49:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-07 16:49:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x881d40237659c251811cec9c364ef91dc08d300c,0.0
2025-05-07 17:14:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-07 19:19:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x881d40237659c251811cec9c364ef91dc08d300c,0.0
2025-05-07 19:25:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xdd35644754ca5f25fc7c31b0355fbe53eaac537f,0.0
2025-05-09 13:38:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-09 21:09:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-05-11 07:24:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-11 07:40:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x98c29b3a30a118351d56589dd3622b89551e2da3,0.0
2025-05-11 07:43:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x98c29b3a30a118351d56589dd3622b89551e2da3,0.0
2025-05-11 08:15:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x98c29b3a30a118351d56589dd3622b89551e2da3,0.0
2025-05-11 08:45:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-11 09:23:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-11 09:52:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-11 10:14:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-14 09:31:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x98c29b3a30a118351d56589dd3622b89551e2da3,0.0
2025-05-14 09:32:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xbd216513d74c8cf14cf4747e6aaa6420ff64ee9e,0.0
2025-05-14 09:34:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xbd216513d74c8cf14cf4747e6aaa6420ff64ee9e,0.0
2025-05-14 09:35:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-14 09:40:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-14 09:43:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-14 13:39:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-14 14:26:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-14 15:12:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xedc7017507792c868896a5dcfea8093b138de09f,0.0
2025-05-14 15:14:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xedc7017507792c868896a5dcfea8093b138de09f,0.0
2025-05-14 15:19:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xedc7017507792c868896a5dcfea8093b138de09f,0.0
2025-05-14 15:22:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xedc7017507792c868896a5dcfea8093b138de09f,0.0
2025-05-15 00:40:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-15 03:53:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.0
2025-05-15 03:56:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.0
2025-05-15 04:03:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x2c899a490902352afa33bafb7fe89c9dd142f9d1,0.0
2025-05-15 04:04:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.0
2025-05-15 04:08:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x36c5183e972a46109a97774551328e1948aad64b,0.0
2025-05-15 04:08:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.0
2025-05-15 07:08:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-15 08:14:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.0
2025-05-15 08:21:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.0
2025-05-15 12:03:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-18 04:46:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-19 13:12:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-19 14:06:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x25bff7f3e52e98d8ff37bee5c41aedf85ad901e7,0.0
2025-05-19 17:59:59,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x25bff7f3e52e98d8ff37bee5c41aedf85ad901e7,0.0
2025-05-22 04:15:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-22 10:22:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-23 07:42:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-23 07:50:23,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-23 08:53:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x98c29b3a30a118351d56589dd3622b89551e2da3,0.0
2025-05-23 09:02:59,0xfab9e511fa644fea8039abba9757579bd91856f0,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0.0009933012977552
2025-05-23 09:04:35,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-23 16:15:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.0
2025-05-23 16:46:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,,0.0
2025-05-23 17:18:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xfdec4fab69a8d87e9f20f0de75c6b3b8a15e774b,0.0
2025-05-23 17:19:47,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0xfdec4fab69a8d87e9f20f0de75c6b3b8a15e774b,0.0
2025-05-23 18:31:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
2025-05-24 17:32:11,0x0a0f067e99fac0be77175bf461e7b8aa7684b2a1,0x27fc30c66f34471731458c2f645033757f19f9d7,0.0
